IDZ,23;
QXG,5;
PFP,16;
OCH,25;
PGQ,28;
IRF,14;
CKR,19;
JVM,28;
FJP,24;
WHF,24;
BMN,66;
FWL,46;
BAS,31;
ZQP,67;
IBP,85;
INQ,120;
ZWG,5;
OOT,22;
RTC,25;
PTL,21;
NJN,8;
AJE,44;
XHT,17;
TVJ,39;
BTI,12;
BAV,87;
HHR,14;
HFN,13;
BHX,30;
UXJ,13;
BMS,20;
GOI,16;
FWZ,81;
VYF,31;
VZU,16;
NJW,7;
QDJ,20;
EJQ,14;
NIF,57;
ZXQ,3;
YTA,107;
QGZ,58;
OME,17;
ZAS,24;
WTV,51;
KEN,20;
VHQ,9;
EFQ,33;
JXC,41;
CJO,147;
YFS,7;
JKU,19;
LHG,56;
DCQ,33;
DLU,28;
MJJ,22;
PIV,46;
KST,22;
OFZ,18;
YDF,50;
ADR,12;
BPK,18;
EIZ,17;
TVS,24;
MMQ,20;
KLY,53;
ABC,36;
RLA,12;
HIP,15;
DLR,39;
GKD,6;
YWB,26;
FOA,16;
BBN,23;
SZB,24;
PYA,40;
URV,26;
BXV,17;
FRN,48;
VDW,33;
KOP,23;
PAF,68;
IVJ,32;
QRK,8;
YDH,43;
OQD,32;
UUJ,12;
XCE,183;
KRL,25;
YOG,12;
ZWW,16;
XZA,13;
CYZ,72;
FZJ,32;
CZP,86;
FGX,29;
ZXY,11;
HUQ,141;
FHM,13;
MBH,7;
ZJF,23;
OIX,54;
LSA,14;
FND,83;
NKL,15;
YRW,15;
UIP,2;
EPX,71;
YNC,5;
MEE,19;
MEO,9;
MQL,21;
LUN,18;
TYC,28;
BJT,12;
FNY,14;
OQB,30;
GCO,8;
ZLY,33;
LQB,16;
ZRT,28;
OKL,17;
PWE,9;
LCA,13;
VES,10;
UOA,21;
ISB,41;
VRN,34;
JUV,84;
EXM,119;
OEU,14;
JLY,8;
RXS,22;
VPG,100;
GJM,45;
XKX,37;
HQU,33;
CKY,53;
CJB,27;
QQW,19;
WLT,27;
PYF,42;
QPV,42;
UEU,11;
NXO,49;
NYH,6;
EEX,25;
ZOX,25;
CCY,33;
IQK,15;
GVT,14;
JAT,241;
RLW,34;
WHM,41;
CVN,24;
ZTG,25;
QUJ,21;
RYB,206;
QMA,10;
RAG,49;
VFB,41;
KDL,15;
PSP,34;
QYT,58;
SOS,21;
WWM,23;
XQG,15;
VVW,13;
CSC,3;
ZAK,15;
FHA,22;
RYK,33;
NOL,48;
PJZ,45;
FPX,49;
JUE,18;
YQH,148;
LVN,16;
GCX,38;
HVW,25;
HKN,15;
EQZ,59;
RVM,16;
IEU,187;
ILM,35;
JFC,31;
JPM,42;
RFU,21;
GLS,18;
FPE,34;
KRJ,22;
CMQ,30;
JFK,126;
WMX,19;
MGT,20;
KLS,14;
PNN,48;
BOE,11;
TGJ,53;
GCC,29;
QIV,35;
EAW,7;
ZWF,28;
ALD,15;
XTA,53;
VWI,34;
NKG,19;
HMS,18;
FZZ,37;
NMB,24;
BFO,200;
EOZ,11;
ATV,18;
EAP,14;
SPC,196;
NKS,12;
QBG,26;
KKM,9;
JHR,98;
VCC,27;
BKF,85;
PFW,6;
GAE,9;
BLW,19;
TMR,15;
KDK,8;
XEP,33;
TWR,46;
NDP,8;
MJD,48;
JFL,48;
KWR,19;
ZLT,29;
ZNS,44;
RVK,13;
XUO,20;
KSM,12;
HXU,13;
POD,118;
JRZ,34;
BXW,42;
VEY,4;
STK,12;
XYO,11;
JQJ,29;
LXG,7;
VSY,36;
MCQ,37;
UZT,8;
LLO,26;
SOI,14;
VXH,25;
QUK,21;
WJN,10;
RQZ,27;
IDO,177;
EKD,9;
QLP,22;
OKP,15;
SKN,11;
RWS,9;
LTS,29;
NOM,7;
ROL,60;
XMP,26;
OLN,13;
PIQ,19;
SFJ,16;
FPF,25;
TLY,30;
QUU,175;
NVT,19;
RQF,31;
KQD,21;
AQR,11;
BCB,92;
NRR,117;
BNX,32;
VCT,93;
VWL,15;
BFN,62;
KXX,61;
BHP,30;
XPF,32;
ECS,31;
OZF,18;
EFE,24;
JYI,131;
TAC,33;
EMK,47;
AIA,25;
IPG,29;
AAI,4;
QIF,19;
ZXI,59;
IJJ,5;
XSI,23;
SGC,182;
IFD,11;
WFM,41;
YMU,107;
XHW,6;
JST,67;
OWX,16;
PCA,41;
HUZ,56;
JZB,23;
CCU,29;
GYS,41;
LTW,52;
VUU,29;
OKI,8;
FBK,9;
ELF,20;
CZE,12;
TCF,27;
TOD,213;
MCV,80;
FSI,41;
QFE,15;
CST,25;
LWF,15;
WMK,8;
AWE,29;
JLA,24;
AQK,5;
JRS,19;
KWA,18;
TOS,34;
HMG,8;
PTW,329;
AWV,32;
RFA,39;
NES,23;
NIJ,66;
MYT,37;
FEG,21;
JMA,4;
KQU,6;
XGQ,27;
TOG,25;
IEL,39;
UHX,22;
BYZ,47;
ZDU,6;
ETG,68;
OBO,17;
IDI,8;
LGU,20;
SED,33;
LCQ,14;
JRT,35;
YPH,22;
CHC,18;
BUP,18;
IUE,20;
MBU,22;
SMW,13;
XTN,94;
KJO,14;
PJT,36;
CVO,38;
TFI,23;
JQP,19;
BJS,15;
TNM,33;
EXA,15;
MAK,18;
ZGG,20;
VBB,30;
JJZ,35;
WII,15;
NSO,51;
FAP,29;
KXL,69;
ZIK,7;
BWQ,12;
WXP,27;
TSF,25;
QDY,39;
DTW,25;
TMM,12;
VWG,17;
CBO,21;
VPE,32;
IZI,42;
KBE,12;
XYI,9;
JBA,17;
WAL,28;
QYJ,24;
AEM,7;
XTQ,214;
MFI,57;
ATR,8;
LIX,33;
CEE,51;
QLB,28;
BVB,670;
ORN,56;
ILI,13;
SCK,41;
HWW,66;
KPW,11;
TEY,9;
QED,17;
QUG,44;
AEP,9;
MTR,17;
KSV,15;
LOW,20;
LMG,60;
MDU,10;
SFS,19;
GHQ,17;
YCO,21;
IUL,23;
GKM,23;
WRG,26;
NIO,15;
HCD,28;
MJN,23;
LXL,11;
QPH,37;
DBK,3;
ZCK,26;
WTD,47;
NEJ,43;
VER,58;
FHB,27;
KGW,9;
UBB,33;
XOS,50;
EHZ,35;
FQX,25;
DZN,14;
QVG,35;
KNM,14;
RXF,19;
UIN,18;
WBG,25;
YJR,17;
BZW,43;
IBQ,41;
JVU,12;
FKQ,76;
NVB,9;
ZKW,6;
SSG,180;
TUM,5;
CUP,17;
HMF,17;
DQW,15;
ETO,28;
HJX,33;
PLM,40;
HMI,21;
HMJ,15;
ICB,29;
QIP,1;
UAR,8;
DJF,14;
RWJ,17;
ONU,2;
EGK,6;
NRV,19;
BUJ,11;
CTQ,13;
HOG,83;
KQI,18;
RNH,7;
AUK,13;
JLK,29;
GLA,24;
EEE,26;
EYL,18;
QJR,22;
VOF,18;
OOJ,33;
TGY,53;
NCF,56;
IKX,30;
PMH,19;
PZN,21;
WAV,26;
PWR,29;
EFN,15;
DQY,19;
NGQ,48;
TIF,60;
CBW,30;
SAA,36;
BBM,13;
EJG,29;
NDI,18;
FON,47;
HEZ,74;
MSP,96;
QOR,17;
AAB,15;
ZIJ,32;
TXN,27;
JBY,20;
KGP,5;
JOG,22;
HWS,20;
DMV,14;
BGZ,25;
CBE,63;
CEJ,54;
SEX,74;
GUX,38;
XYC,4;
JCX,23;
UPO,38;
JLM,9;
QHL,55;
QIK,18;
XGY,31;
CIC,43;
HBD,18;
SJD,58;
MWS,4;
QKV,6;
JNT,27;
FLC,7;
NDE,6;
BOS,7;
ZOS,25;
CTH,54;
COI,16;
PEE,23;
KDQ,28;
RGL,102;
UTP,31;
FOF,28;
EKU,46;
BAZ,17;
BMV,30;
YAE,7;
HYL,119;
AGH,15;
LLL,14;
CMM,8;
TEV,16;
MTS,43;
LTQ,8;
LYD,245;
CXH,59;
AZC,46;
CYX,30;
JRD,28;
WTC,32;
BKX,28;
NTM,15;
SHU,30;
IGW,28;
MYC,12;
VCX,26;
ACG,154;
LHN,76;
OGY,6;
FGM,23;
CHD,63;
RNQ,53;
VID,45;
MZA,6;
ZFH,28;
VUC,7;
FJH,48;
AVU,15;
PKX,22;
MGN,42;
IGV,20;
IDD,14;
VUX,92;
LPB,18;
ARQ,31;
JXH,25;
USP,19;
GYX,19;
FSA,155;
YZV,10;
ASY,122;
EUT,7;
PBY,21;
XNW,32;
XIQ,16;
HXQ,25;
ZTH,26;
CTS,15;
PGA,20;
SRJ,17;
ACT,33;
LAM,47;
LXE,7;
ULX,65;
EDB,88;
XVA,13;
BKB,30;
XFZ,34;
MUT,18;
ABR,6;
YUM,35;
DDA,25;
YGE,6;
VGY,22;
FBY,13;
VDY,37;
NKX,20;
WDH,50;
GBR,21;
DPH,10;
EVM,15;
HLN,26;
RIG,11;
YQZ,104;
BOI,34;
DWM,19;
PPI,45;
UND,75;
SYC,16;
VQA,29;
XAL,35;
GYR,31;
AAV,15;
YKV,18;
XDR,12;
VXF,30;
BDD,27;
ITV,30;
GLP,54;
VZQ,31;
IFU,30;
KGE,45;
OWD,14;
BXF,58;
YWH,10;
HTJ,78;
YDP,41;
KXT,31;
FPL,76;
ERQ,5;
CAK,31;
IWK,13;
XXX,33;
SXC,70;
PEF,121;
LUE,5;
XQM,13;
SCN,124;
MVV,32;
QIN,14;
CRL,25;
XNC,37;
NWS,25;
NNF,19;
BWK,18;
MXR,10;
POP,32;
DHO,20;
HFU,14;
UAI,7;
QRZ,30;
DEN,36;
GAQ,7;
ROZ,147;
